figure_title,figure_path
BLI: State of the World’s Birds 2022 - Pg. 27,https://images.andbiodiversity.info/bli_2022_pg27.png
BLI: State of the World’s Birds 2022 - Pg. 31 | 1,https://images.andbiodiversity.info/bli_2022_pg31_1.png
BLI: State of the World’s Birds 2022 - Pg. 31 | 2,https://images.andbiodiversity.info/bli_2022_pg31_2.png
BLI: State of the World’s Birds 2022 - Pg. 37 | 1,https://images.andbiodiversity.info/bli_2022_pg37_1.png
BLI: State of the World’s Birds 2022 - Pg. 37 | 2,https://images.andbiodiversity.info/bli_2022_pg37_2.png
IUCN: Global Ecosystem Typology 2.0 - Fig 1,https://images.andbiodiversity.info/iucn_typology_fig1.png
IUCN: Global Ecosystem Typology 2.0 - Fig 2,https://images.andbiodiversity.info/iucn_typology_fig2.png
IUCN: Global Ecosystem Typology 2.0 - Fig 3,https://images.andbiodiversity.info/iucn_typology_fig3.png
FAO: The State of the World’s Forests 2022 - Fig 1,https://images.andbiodiversity.info/fao_forests_2022_fig1.png
FAO: The State of the World’s Forests 2022 - Fig 2,https://images.andbiodiversity.info/fao_forests_2022_fig2.png
FAO: The State of the World’s Forests 2022 - Fig 5,https://images.andbiodiversity.info/fao_forests_2022_fig5.png
FAO: The State of the World’s Forests 2022 - Fig 6,https://images.andbiodiversity.info/fao_forests_2022_fig6.png
FAO: The State of the World’s Forests 2022 - Fig 10,https://images.andbiodiversity.info/fao_forests_2022_fig10.png
FAO: The State of the World’s Forests 2022 - Fig 11,https://images.andbiodiversity.info/fao_forests_2022_fig11.png
OECD: Overview of Global Biodiversity Finance – Fig 2.1,https://images.andbiodiversity.info/oecd_2020_fig2_1.png
OECD: Overview of Global Biodiversity Finance – Fig 2.2,https://images.andbiodiversity.info/oecd_2020_fig2_2.png
OECD: Overview of Global Biodiversity Finance – Table 2.4,https://images.andbiodiversity.info/oecd_2020_table2_4.png
OECD: Overview of Global Biodiversity Finance – Fig 3.1,https://images.andbiodiversity.info/oecd_2020_fig3_1.png
OECD: Overview of Global Biodiversity Finance – Fig 3.2,https://images.andbiodiversity.info/oecd_2020_fig3_2.png
UNCCD: Global Land Outlook 2022 - Fig 1,https://images.andbiodiversity.info/unccd_2022_fig1.png
UNCCD: Global Land Outlook 2022 - Fig 1.3,https://images.andbiodiversity.info/unccd_2022_fig1_1.png
UNCCD: Global Land Outlook 2022 - Fig 1.6,https://images.andbiodiversity.info/unccd_2022_fig1_3.png
UNCCD: Global Land Outlook 2022 - Fig 1.8,https://images.andbiodiversity.info/unccd_2022_fig1_6.png
UNCCD: Global Land Outlook 2022 - Fig 1.9,https://images.andbiodiversity.info/unccd_2022_fig1_8.png
UNCCD: Global Land Outlook 2022 - Fig 1.11,https://images.andbiodiversity.info/unccd_2022_fig1_9.png
UNCCD: Global Land Outlook 2022 - Fig 1.11,https://images.andbiodiversity.info/unccd_2022_fig1_11.png
UNCCD: Global Land Outlook 2022 - Fig 1.15,https://images.andbiodiversity.info/unccd_2022_fig1_15.png
UNCCD: Global Land Outlook 2022 - Fig 1.16,https://images.andbiodiversity.info/unccd_2022_fig1_16.png
UNCCD: Global Land Outlook 2022 - Fig 2.1,https://images.andbiodiversity.info/unccd_2022_fig2_1.png
UNCCD: Global Land Outlook 2022 - Fig 3.1,https://images.andbiodiversity.info/unccd_2022_fig3_1.png
UNCCD: Global Land Outlook 2022 - Fig 3.6,https://images.andbiodiversity.info/unccd_2022_fig3_6.png
UNCCD: Global Land Outlook 2022 - Fig 3.10,https://images.andbiodiversity.info/unccd_2022_fig3_10.png
Ramsar: Global Wetland Outlook 2021 - Figs 1-2,https://images.andbiodiversity.info/ramsar_2021_figs1_2.png
IPBES: Values Assessment – Fig 2,https://images.andbiodiversity.info/ipbes_values_fig2.png
IPBES: Values Assessment – Fig 6,https://images.andbiodiversity.info/ipbes_values_fig6.png
IPBES: Values Assessment – Table 3,https://images.andbiodiversity.info/ipbes_values_table3.png
IPBES: Values Assessment – Table 4,https://images.andbiodiversity.info/ipbes_values_table4.png
IPBES: Values Assessment – Table 6,https://images.andbiodiversity.info/ipbes_values_table6.png
FAO: The State of World Fisheries and Aquaculture - Fig 1,https://images.andbiodiversity.info/fao_fisheries_2020_fig1.png
FAO: The State of World Fisheries and Aquaculture - Fig 2,https://images.andbiodiversity.info/fao_fisheries_2020_fig2.png
FAO: The State of World Fisheries and Aquaculture - Fig 3,https://images.andbiodiversity.info/fao_fisheries_2020_fig3.png
FAO: The State of World Fisheries and Aquaculture - Fig 5,https://images.andbiodiversity.info/fao_fisheries_2020_fig5.png
FAO: The State of World Fisheries and Aquaculture - Fig 23,https://images.andbiodiversity.info/fao_fisheries_2020_fig23.png
FAO: The State of World Fisheries and Aquaculture - Fig 46,https://images.andbiodiversity.info/fao_fisheries_2020_fig42.png
Millennium Ecosystem Assessment - Fig 3,https://images.andbiodiversity.info/mea_fig3.png
Millennium Ecosystem Assessment - Fig 4,https://images.andbiodiversity.info/mea_fig4.png
Millennium Ecosystem Assessment - Fig 9,https://images.andbiodiversity.info/mea_fig9.png
Millennium Ecosystem Assessment - Fig 13,https://images.andbiodiversity.info/mea_fig13.png
Millennium Ecosystem Assessment - Fig 15,https://images.andbiodiversity.info/mea_fig15.png
